id,Question,image,A,B,C,D,E,Answer option,difficulty,type,level,source,note: difficulty (1/2/3: easy/normal/hard)
1,Who caught the fish? ,mk2017_1.png,Adam,Basil,Charlie,David,Edgar,D,2,path,1,kangaroo/2017,8/26/2022 ready for review
2,"In the picture, there are stars with 5 points, stars with 6 points, and stars with 7 points. How many stars that have only 5 points are there? ",mk2017_2.png,2,3,4,5,9,C,1,counting,1,kangaroo/2017,8/12/2022 revision ready for review; sugestions: polygons + stars (done)
3,The entire pie seen in the picture is divided among several children. Each child receives a piece of pie with three cherries on top. How many children are there? ,mk2017_3.png,3,4,5,6,8,B,1,counting,1,kangaroo/2017,8/12/2022 ready for review; suggestions: change the text of the question (avoid ingredient) (done)
4,Into how many parts do the scissors cut the rope in the picture?,mk2017_4.png,5,6,7,8,9,A,2,counting,1,kangaroo/2017,9/2/2022 ready for review; Same as 97 (but could use a different curve function)
5,How many bricks are missing from the igloo?,mk2017_6.png,6,7,8,9,10,A,2,counting,1,kangaroo/2017,8/12/2022 ready for review
6,"Four of the numbers 1,3,4,5, and 7 are used, one in each square, so that the equality is correct. Which of the numbers is not used?",mk2017_8.png,1,3,4,5,7,C,1,math,1,kangaroo/2017,8/12/2022 revision ready for review; suggestions: replace different icons with some primitive shapes (done)
7,"In the country of jewelries, you can trade three sapphires for one ruby (picture 1). For one sapphire, you can get two flowers (picture 2). How many flowers can you get for two rubies? ",mk2017_9.png,6,8,10,12,14,D,1,algebra,1,kangaroo/2017,8/12/2022 revision ready for review; suggestions: use the same instance of each type (done)
8,How many triangles are there in the picture below?,mk2017_11.png,8,9,10,11,12,D,3,counting,1,kangaroo/2017,9/23/2022 ready for review; KP: haven't found a closed-form solution; suggestions: think about how to control the level of triangles?
9,"Brian and William are standing in line. Brian knows that there are 7 people in front of him. William knows that there is a total of 11 people in the line. If Brian is just in front of William, how many of the people in the line are behind William?",None,2,3,4,5,6,A,1,algebra,1,kangaroo/2017,8/5/2022 ready for review
10,"In the table, the correct additions were performed in the squares according to the pattern shown. What number should replace the question mark?",mk2017_17.png,10,11,12,13,15,B,1,algebra,1,kangaroo/2017,8/5/2022 ready for review
